Thu Mar 05 17:42:30 +0000 2020," Not true : claim @ pacificgreentec suggests support scrubber use , based comments VLSFO black carbon emissions . This misrepresents position : seek Arctic HFO ban : No HFO = need scrubbers . Several CAA members actively campaigning open-loop scrubbers . https : //t.co/lYWXEnrEcY",Catalonia & Wexford
Thu Mar 05 17:42:31 +0000 2020, Many leaders making varied statements # CAA threatening implemented Maharashtra . We want discussion Legislative Assembly want know official stand State Government CAA @ Dev_Fadnavis https : //t.co/ZnKa1sIImh,Mumbai
Thu Mar 05 17:42:33 +0000 2020," Sets dangerous precedent . Apart unwarranted intrusion Executive 's domain . Visa NOT right , issue 'Fundamental Right ' . Visa issued subject rules . If FRO determined Polish student violated , Judiciary review .",Delhi
Thu Mar 05 17:42:34 +0000 2020, Hate update . After CAA passed Parliament Dec 11 ... . Assam- 6 killed Uttar Pradesh- 19 ( per police ) Karnataka- 2 Meghalaya- 3 Delhi-53 Total-83,
Thu Mar 05 17:42:36 +0000 2020, @ TheDragSlayer4 @ MusketeerGooner @ dikgaj CAA nothing dalits . saving non hindus who… https : //t.co/EeLTJrzzXI,
Thu Mar 05 17:42:36 +0000 2020," A weeks ago , news European Parliament wants `` discuss '' India 's CAA amendment 2019 . Did n't work . Today , news European Union giving Greece , $ 780 million keep migrants away Europe ! Cont 'd ...","Dubai, United Arab Emirates"
Thu Mar 05 17:42:37 +0000 2020, Another video old address social activist Harsh Mander shared social media falsely project instigated violence anti-CAA protests . Read # AltNewsFactCheck . | @ Pooja_Chaudhuri https : //t.co/3TwfA4uNPB,
Thu Mar 05 17:42:37 +0000 2020, @ vijaita What 's wrong CAA ... ALL THREE NEIGHBOURING COUNTRIES PAK AFGHAN AND BANGLA ARE ISLAMIC COUNTRY AND MUSLI… https : //t.co/cQShmUhxbX,"Nanded, India"
Thu Mar 05 17:42:37 +0000 2020, This video reach everyone NRC Poland living example allowing illegal migrants enter country important internal security country https : //t.co/hvJW7PXujb,ghar se(GKP)
Thu Mar 05 17:42:37 +0000 2020," The daft international media thinks # CAA applies Indian citizens . It ’ . Not Muslims India , ANYONE India . CAA applies persecuted minority REFUGEES 3 neighbouring Islamic countries— Pak , BD & amp ; Afgh . Got guys ? @ guardian , @ WSJ @ washingtonpost @ nytimes",
Thu Mar 05 17:42:38 +0000 2020," Muslims India allowed go masjids offering prayers .India launched # CAA Which totally inhuman law , sending Muslims detention centers convert Hindus . # IndianMuslimsInDanger",pakistan
Thu Mar 05 17:42:41 +0000 2020, The Shaheen Bagh protest proved Islamist agenda nation day Jihadi goons murdered Ankit Sharma Ratan Lal . It never protest CAA NRC . It anti India protest backed Radical Islamic Groups . # ShaheenBaghEmpty https : //t.co/Ap2zM4y15M,"Hyderabad, Chennai, Bangalore"
Thu Mar 05 17:42:45 +0000 2020, Anti CAA protest meeting reportedly organized DMK MLA Meiyanathan inside Sidhdhi Vinayak temple @ Alangudi Pudhukkottai dist . Devotional songs stopped per instructions Muslim speakers participated . Who permitted Muslims use Hindu temple venue Anti CAA meet ? https : //t.co/eOjVWUGGAS,Bharat (भारत) 
Thu Mar 05 17:42:45 +0000 2020," On asked repeatedly finds objectionable CAA , man replies : There might something 's problematic , otherwise many streets protesting . OPEN YOUR EYES . ( clip courtesy @ LOLiyapa ) https : //t.co/WV3x70VxMd",Swadesh
Thu Mar 05 17:42:45 +0000 2020, @ Voice_For_India @ cachandansharma Pls sort @ BorisJohnson @ patel4witham @ RishiSunak # CAA law passed absolute m… https : //t.co/ZEgxbgmx4F,
Thu Mar 05 17:42:46 +0000 2020, Many leaders making varied statements # CAA threatening implemented Maharashtra . We want discussion Legislative Assembly want know official stand State Government CAA @ Dev_Fadnavis https : //t.co/tSIc8d8VM8,Mumbai
Thu Mar 05 17:42:46 +0000 2020, He amongst top lawyers in🌍 & amp ; Constitutional expert-a staunch nationalist made Pak bite dust ICJ defending Kulbhushan Jadhav & amp ; purely love for🇮🇳 w/o ₹ He aligned party-see wt Harish Salve ji says abt CAA : ITS NECESSARY https : //t.co/VzDcGdidMn,Delhi / Pune
Thu Mar 05 17:42:48 +0000 2020," RT @ PTI_News : Calcutta HC stays Centre 's notice Polish student , asking leave India allegedly participating anti-CAA protest",
